"9/1/2021, 11:00:46 AM", 725, 817
"10/1/2021, 11:01:00 AM", 570, 632
"11/1/2021, 11:01:34 AM", 767, 866
"12/1/2021, 11:00:58 AM", 550, 665
"1/3/2022, 11:02:14 AM", 504, 588
"2/1/2022, 11:01:55 AM", 631, 721
"3/1/2022, 11:01:56 AM", 636, 731
"4/1/2022, 11:02:05 AM", 543, 612
"5/2/2022, 11:01:38 AM", 626, 705
"6/1/2022, 11:01:51 AM", 600, 667
